class,precision,recall,f1-score,support
WALKING,0.9763313609467456,0.9979838709677419,0.9870388833499502,496.0
WALKING_UPSTAIRS,0.9288702928870293,0.9426751592356688,0.9357218124341412,471.0
WALKING_DOWNSTAIRS,0.9458823529411765,0.9571428571428572,0.9514792899408284,420.0
SITTING,0.8507109004739336,0.7311608961303462,0.7864184008762322,491.0
STANDING,0.8096885813148789,0.8796992481203008,0.8432432432432433,532.0
LAYING,1.0,1.0,1.0,537.0
macro avg,0.9185805814272939,0.9181103385994858,0.9173169383073992,2947.0
weighted avg,0.9177068980681667,0.9178825924669155,0.9167473368879671,2947.0
