,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,495,1,0,0,0,0
WALKING_UPSTAIRS,4,444,23,0,0,0
WALKING_DOWNSTAIRS,8,10,402,0,0,0
SITTING,0,22,0,359,110,0
STANDING,0,1,0,63,468,0
LAYING,0,0,0,0,0,537
