accuracy,loss,val_accuracy,val_loss
0.6135831475257874,1.1833590269088745,0.7295946478843689,1.5701615810394287
0.8153485655784607,0.6760340929031372,0.785119354724884,1.2096142768859863
0.8593046069145203,0.48496901988983154,0.869516909122467,0.791063129901886
0.896234929561615,0.358815461397171,0.9128261804580688,0.454003244638443
0.9185732007026672,0.26403895020484924,0.9594669342041016,0.2522093653678894
0.9261394143104553,0.2112048864364624,0.977790117263794,0.16455364227294922
0.9317240118980408,0.18255731463432312,0.9772348403930664,0.13520283997058868
0.9347864985466003,0.1646115481853485,0.979455828666687,0.12854567170143127
0.9380291700363159,0.1522667557001114,0.9705718755722046,0.12868572771549225
0.9400107860565186,0.14429250359535217,0.9639089107513428,0.12931184470653534
0.9409115314483643,0.13826434314250946,0.9655746817588806,0.12939035892486572
0.9416321516036987,0.1333528310060501,0.9655746817588806,0.12980587780475616
0.9428931474685669,0.12916381657123566,0.9650194048881531,0.13323843479156494
0.9446946382522583,0.12541429698467255,0.9627984166145325,0.13779492676258087
0.9452350735664368,0.1220615953207016,0.9611327052116394,0.14260827004909515
0.9454152584075928,0.11892938613891602,0.9589117169380188,0.1486748456954956
