,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,451,0,45,0,0,0
WALKING_UPSTAIRS,0,442,29,0,0,0
WALKING_DOWNSTAIRS,3,7,410,0,0,0
SITTING,5,0,0,366,120,0
STANDING,0,0,0,62,470,0
LAYING,0,1,1,0,0,535
