class,windows,gravity_dir_x_mean,gravity_dir_y_mean,gravity_dir_z_mean,acc_magnitude_mean,acc_magnitude_std
WALKING,22,-0.9919908046722412,0.08701393008232117,0.05672077089548111,1.029713749885559,0.0064897420816123486
WALKING_UPSTAIRS,24,-0.9903740882873535,0.06104917824268341,0.040859825909137726,1.014224648475647,0.033310748636722565
WALKING_DOWNSTAIRS,21,-0.9933062791824341,0.034574586898088455,0.0683583915233612,1.035444974899292,0.018676597625017166
SITTING,22,-0.22969894111156464,-0.6297884583473206,0.7420263290405273,1.0005759000778198,0.0011664038756862283
STANDING,22,-0.9777227640151978,-0.018223300576210022,0.20859719812870026,1.0200183391571045,0.0005295919254422188
LAYING,22,-0.030160874128341675,-0.7998729944229126,0.5994094610214233,1.0000497102737427,0.0011780044296756387
