class,precision,recall,f1-score,support
WALKING,0.9856850715746421,0.9717741935483871,0.9786802030456853,496.0
WALKING_UPSTAIRS,0.9570815450643777,0.9469214437367304,0.951974386339381,471.0
WALKING_DOWNSTAIRS,0.9212962962962963,0.9476190476190476,0.9342723004694836,420.0
SITTING,0.8272921108742004,0.790224032586558,0.8083333333333333,491.0
STANDING,0.8140794223826715,0.8477443609022557,0.8305709023941068,532.0
LAYING,1.0,1.0,1.0,537.0
macro avg,0.9175724076986981,0.9173805130654965,0.9173051875969983,2947.0
weighted avg,0.9171769008542934,0.9168646080760094,0.9168493619321423,2947.0
