rank,run_name,experiment,arduino_v2_val_macro_f1,arduino_v2_val_accuracy,uci_test_macro_f1,uci_test_accuracy,fp32_tflite_size_bytes,host_latency_mean_ms,selection_note
1,m3_target_mixed_focal_6ch,mixed_focal_6ch,0.48698698698698695,0.6310679611650486,0.7981568831219225,0.8137088564642009,13460,40.60723499999597,Current FP32 candidate only; pending held-out right/left pocket live validation and quantization is deferred.
2,m3_target_mixed_6ch,mixed_6ch,0.3543360433604336,0.5048543689320388,0.7929035077697506,0.8076009501187649,13460,40.0712399999918,
3,m3_target_mixed_gravity_10ch,mixed_gravity_10ch,0.16428571428571428,0.2815533980582524,0.5981300767809057,0.6223277909738717,14036,39.356574999996496,
4,m3_target_finetune,finetune,0.1111111111111111,0.21359223300970873,0.5679207131897509,0.6090939938920936,13460,41.651499999997554,
5,m3_target_uci_baseline,uci_baseline,0.058666666666666666,0.21359223300970873,0.9122874406990972,0.9110960298608755,13460,40.72664500000087,
6,m3_target_arduino_only,arduino_only,0.058666666666666666,0.21359223300970873,0.21342011838504915,0.330844927044452,13460,39.83478000000247,
