run_name,experiment,feature_mode,uci_test_accuracy,uci_test_macro_f1,arduino_v2_val_accuracy,arduino_v2_val_macro_f1,arduino_v2_val_f1_walking,arduino_v2_val_f1_walking_upstairs,arduino_v2_val_f1_walking_downstairs,arduino_v2_val_f1_sitting,arduino_v2_val_f1_standing,arduino_v2_val_f1_laying,fp32_tflite_size_bytes,host_latency_mean_ms,host_latency_note
m3_target_uci_baseline,uci_baseline,base_6ch,0.9110960298608755,0.9122874406990972,0.21359223300970873,0.058666666666666666,0.0,0.0,0.0,0.0,0.0,0.352,13460,40.72664500000087,Host CPU Keras predict latency; not an Arduino latency claim.
m3_target_arduino_only,arduino_only,base_6ch,0.330844927044452,0.21342011838504915,0.21359223300970873,0.058666666666666666,0.0,0.0,0.0,0.0,0.0,0.352,13460,39.83478000000247,Host CPU Keras predict latency; not an Arduino latency claim.
m3_target_finetune,finetune,base_6ch,0.6090939938920936,0.5679207131897509,0.21359223300970873,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,13460,41.651499999997554,Host CPU Keras predict latency; not an Arduino latency claim.
m3_target_mixed_6ch,mixed_6ch,base_6ch,0.8076009501187649,0.7929035077697506,0.5048543689320388,0.3543360433604336,0.16666666666666666,0.2926829268292683,0.0,0.0,1.0,0.6666666666666666,13460,40.0712399999918,Host CPU Keras predict latency; not an Arduino latency claim.
m3_target_mixed_focal_6ch,mixed_focal_6ch,base_6ch,0.8137088564642009,0.7981568831219225,0.6310679611650486,0.48698698698698695,0.8108108108108109,0.4444444444444444,0.0,0.0,1.0,0.6666666666666666,13460,40.60723499999597,Host CPU Keras predict latency; not an Arduino latency claim.
m3_target_mixed_gravity_10ch,mixed_gravity_10ch,gravity_10ch,0.6223277909738717,0.5981300767809057,0.2815533980582524,0.16428571428571428,0.0,0.2857142857142857,0.2,0.0,0.0,0.5,14036,39.356574999996496,Host CPU Keras predict latency; not an Arduino latency claim.
