,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,448,1,47,0,0,0
WALKING_UPSTAIRS,0,430,41,0,0,0
WALKING_DOWNSTAIRS,2,8,410,0,0,0
SITTING,0,1,0,375,109,6
STANDING,1,1,0,67,463,0
LAYING,0,0,0,19,0,518
