class,precision,recall,f1-score,support
WALKING,0.9933481152993349,0.9032258064516129,0.9461457233368532,496.0
WALKING_UPSTAIRS,0.9750566893424036,0.9129511677282378,0.9429824561403509,471.0
WALKING_DOWNSTAIRS,0.8232931726907631,0.9761904761904762,0.8932461873638344,420.0
SITTING,0.8134490238611713,0.7637474541751528,0.7878151260504201,491.0
STANDING,0.8094405594405595,0.8703007518796992,0.8387681159420289,532.0
LAYING,0.9885496183206107,0.9646182495344506,0.9764373232799246,537.0
macro avg,0.9005228631591405,0.8985056509932715,0.897565822018902,2947.0
weighted avg,0.9021420060316401,0.8971835765184933,0.8978571840798202,2947.0
