epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.593226432800293,0.9608412981033325,0.7990005612373352,0.5275353193283081,0.0010000000474974513
2,0.7577013373374939,0.5434215068817139,0.8439755439758301,0.42337870597839355,0.0009900990407913923
3,0.8578634262084961,0.36863458156585693,0.8611882328987122,0.35995718836784363,0.0009803922148421407
4,0.9030805230140686,0.2583787143230438,0.8995002508163452,0.28573986887931824,0.0009708738070912659
5,0.9167717695236206,0.2118341028690338,0.9111604690551758,0.2535844147205353,0.000961538462433964
6,0.9275805950164795,0.18642613291740417,0.9189339280128479,0.26706528663635254,0.0009523809421807528
7,0.935687243938446,0.1506025344133377,0.920599639415741,0.20912066102027893,0.0009433962404727936
8,0.9367681741714478,0.1542154997587204,0.9394780397415161,0.1985785812139511,0.0009345794678665698
9,0.9472166895866394,0.12941478192806244,0.9389228224754333,0.1869194209575653,0.0009259259095415473
10,0.9428931474685669,0.12589766085147858,0.9150471687316895,0.3860824406147003,0.0009174311999231577
11,0.9473968744277954,0.12195774167776108,0.8945030570030212,0.3415566682815552,0.0009090909152291715
12,0.9519005417823792,0.10936392843723297,0.8989450335502625,0.3606704771518707,0.0009009009227156639
13,0.9524409770965576,0.1076338067650795,0.8895058035850525,0.3845835328102112,0.0008928571478463709
14,0.9529814720153809,0.10666999965906143,0.9255968928337097,0.29575756192207336,0.0008849557489156723
