epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.620428740978241,0.893620491027832,0.783453643321991,0.5560686588287354,0.0010000000474974513
2,0.7926499843597412,0.4979156255722046,0.8506385087966919,0.37035974860191345,0.0009900990407913923
3,0.8612862825393677,0.34889623522758484,0.8384230732917786,0.37482479214668274,0.0009803922148421407
4,0.8818231225013733,0.310796856880188,0.9000555276870728,0.271319717168808,0.0009708738070912659
5,0.8978562355041504,0.2491755187511444,0.9011660218238831,0.29254600405693054,0.000961538462433964
6,0.9066835045814514,0.2138230949640274,0.9217101335525513,0.2479819804430008,0.0009523809421807528
7,0.9162313342094421,0.2035757601261139,0.8939477801322937,0.341400682926178,0.0009433962404727936
8,0.9252386689186096,0.19522778689861298,0.9033870100975037,0.3162910044193268,0.0009345794678665698
9,0.9254188537597656,0.17281219363212585,0.9516934752464294,0.16746513545513153,0.0009259259095415473
10,0.9203746914863586,0.17636321485042572,0.9255968928337097,0.24550874531269073,0.0009174311999231577
11,0.9225364923477173,0.1816788613796234,0.9261521100997925,0.25466662645339966,0.0009090909152291715
12,0.9254188537597656,0.16420380771160126,0.9255968928337097,0.2618654668331146,0.0009009009227156639
13,0.9284813404083252,0.16151194274425507,0.937812328338623,0.21253137290477753,0.0008928571478463709
14,0.9313637018203735,0.15598228573799133,0.9400333166122437,0.23625919222831726,0.0008849557489156723
