epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6067375540733337,0.9556853175163269,0.6718489527702332,0.741773247718811,0.0010000000474974513
2,0.7856242060661316,0.5086355209350586,0.7473625540733337,0.5620605945587158,0.0009900990407913923
3,0.8731759786605835,0.3257828950881958,0.8151026964187622,0.46335795521736145,0.0009803922148421407
4,0.9090253710746765,0.24484814703464508,0.8273181319236755,0.48891735076904297,0.0009708738070912659
5,0.9243379831314087,0.204008087515831,0.8989450335502625,0.2978661060333252,0.000961538462433964
6,0.9322644472122192,0.17136213183403015,0.8784008622169495,0.3813526928424835,0.0009523809421807528
7,0.9410917162895203,0.14515693485736847,0.9333703517913818,0.23956868052482605,0.0009433962404727936
8,0.945595383644104,0.13249383866786957,0.9489172697067261,0.18974152207374573,0.0009345794678665698
9,0.9500991106033325,0.12693731486797333,0.9372570514678955,0.20414039492607117,0.0009259259095415473
10,0.9466762542724609,0.1262769252061844,0.9089394807815552,0.3482648730278015,0.0009174311999231577
11,0.9540623426437378,0.11281713843345642,0.9566907286643982,0.1364900767803192,0.0009090909152291715
12,0.9535219073295593,0.1097358763217926,0.9167129397392273,0.2756248116493225,0.0009009009227156639
13,0.9551432132720947,0.10146988928318024,0.9244863986968994,0.3373264670372009,0.0008928571478463709
14,0.9546027779579163,0.1067177802324295,0.941143810749054,0.19654104113578796,0.0008849557489156723
15,0.9603675007820129,0.09742610901594162,0.9172681570053101,0.29052460193634033,0.0008771930006332695
16,0.9591064453125,0.09659431874752045,0.906163215637207,0.35718557238578796,0.0008695652359165251
