epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.5989911556243896,0.9201279878616333,0.7290394306182861,0.7145683765411377,0.0010000000474974513
2,0.7832822799682617,0.5104559063911438,0.8334258794784546,0.4157513678073883,0.0009900990407913923
3,0.8755179047584534,0.30393314361572266,0.8906162977218628,0.38339582085609436,0.0009803922148421407
4,0.9102864265441895,0.22441920638084412,0.9139366745948792,0.2693231403827667,0.0009708738070912659
5,0.9129886627197266,0.19813887774944305,0.9111604690551758,0.26769837737083435,0.000961538462433964
6,0.928301215171814,0.16560614109039307,0.920599639415741,0.2731572091579437,0.0009523809421807528
7,0.9311835765838623,0.1553085297346115,0.9133814573287964,0.32641756534576416,0.0009433962404727936
8,0.941992461681366,0.13696959614753723,0.9350360631942749,0.24520421028137207,0.0009345794678665698
9,0.9425328969955444,0.12916457653045654,0.9056079983711243,0.37405380606651306,0.0009259259095415473
10,0.9445145130157471,0.1228238120675087,0.9161576628684998,0.3578367829322815,0.0009174311999231577
11,0.9473968744277954,0.1172885149717331,0.9011660218238831,0.3701796531677246,0.0009090909152291715
12,0.950639545917511,0.11157924681901932,0.831204891204834,0.8576544523239136,0.0009009009227156639
13,0.9551432132720947,0.0987006425857544,0.9178234338760376,0.35607367753982544,0.0008928571478463709
