epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6222302317619324,0.8736721277236938,0.7229316830635071,0.5958033800125122,0.0010000000474974513
2,0.7749955058097839,0.5266543626785278,0.7934480905532837,0.5152091979980469,0.0009900990407913923
3,0.8769590854644775,0.3203807771205902,0.872848391532898,0.4354384243488312,0.0009803922148421407
4,0.9140695333480835,0.21920642256736755,0.8867295980453491,0.420421838760376,0.0009708738070912659
5,0.9275805950164795,0.18280862271785736,0.906163215637207,0.3839561343193054,0.000961538462433964
6,0.9353269934654236,0.15883606672286987,0.9333703517913818,0.2419063299894333,0.0009523809421807528
7,0.9373086094856262,0.15369190275669098,0.9200444221496582,0.32950809597969055,0.0009433962404727936
8,0.9443343281745911,0.14027917385101318,0.92670738697052,0.31676992774009705,0.0009345794678665698
9,0.9450549483299255,0.12968628108501434,0.9461410045623779,0.2671615779399872,0.0009259259095415473
10,0.9537020325660706,0.10890724509954453,0.9511382579803467,0.2546687126159668,0.0009174311999231577
11,0.9508196711540222,0.10727544128894806,0.937812328338623,0.3131336569786072,0.0009090909152291715
