,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,668,2,141,0,22,0
WALKING_UPSTAIRS,69,97,82,0,0,3
WALKING_DOWNSTAIRS,119,2,46,0,8,40
SITTING,0,0,0,440,0,483
STANDING,0,0,0,0,878,0
LAYING,0,0,0,160,0,861
