,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,481,1,14,0,0,0
WALKING_UPSTAIRS,4,446,21,0,0,0
WALKING_DOWNSTAIRS,4,24,392,0,0,0
SITTING,0,0,0,391,100,0
STANDING,0,0,0,86,446,0
LAYING,0,0,0,0,0,537
