quantization_variant,phase2_model,phase2_accuracy,phase2_macro_f1,phase2_fp32_tflite_size_bytes,accuracy,macro_f1,weighted_f1,accuracy_drop_vs_phase2,macro_f1_drop_vs_phase2,tflite_size_bytes,size_change_vs_phase2_fp32_tflite,host_latency_mean_ms,host_latency_median_ms,host_latency_p95_ms,static_sitting_standing_confusions,representative_policy,representative_samples,model_path,selected_for_deployment,qat_status
full_integer_int8_ptq,C:\Users\tings\tinyml-esp32-wokwi-starter\outputs\lightweight\models\lightweight_tiny_cnn.keras,0.9168646080760094,0.9173051875969983,13460,0.9138106549032915,0.9140834200565789,0.9138246880134597,-0.003053953172717949,-0.0032217675404193624,10288,-3172,0.0167939999664668,0.016250000044237822,0.018054999236483127,186,random_train_windows,512,C:\Users\tings\tinyml-esp32-wokwi-starter\outputs\deployment\quantization_experiments\models\lightweight_tiny_cnn_full_integer_int8_ptq.tflite,False,INT8 QAT not run in this pass because at least one PTQ variant stayed within 0.0100 macro F1 of the Phase 2 FP32 baseline.
class_balanced_full_integer_int8_ptq,C:\Users\tings\tinyml-esp32-wokwi-starter\outputs\lightweight\models\lightweight_tiny_cnn.keras,0.9168646080760094,0.9173051875969983,13460,0.9144893111638955,0.9147170858512556,0.9144605476362812,-0.002375296912113911,-0.0025881017457427546,10288,-3172,0.019211999897379428,0.01750000228639692,0.029990004259161606,184,class_balanced_train_windows,512,C:\Users\tings\tinyml-esp32-wokwi-starter\outputs\deployment\quantization_experiments\models\lightweight_tiny_cnn_class_balanced_full_integer_int8_ptq.tflite,True,INT8 QAT not run in this pass because at least one PTQ variant stayed within 0.0100 macro F1 of the Phase 2 FP32 baseline.
