,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,438,18,25,0,15,0
WALKING_UPSTAIRS,1,446,24,0,0,0
WALKING_DOWNSTAIRS,56,96,266,0,2,0
SITTING,0,20,0,413,53,5
STANDING,0,1,0,67,464,0
LAYING,0,0,0,0,0,537
