,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,448,3,36,5,4,0
WALKING_UPSTAIRS,3,444,24,0,0,0
WALKING_DOWNSTAIRS,26,27,367,0,0,0
SITTING,0,19,0,362,105,5
STANDING,0,0,0,61,471,0
LAYING,0,0,0,0,0,537
