,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,447,7,39,3,0,0
WALKING_UPSTAIRS,17,440,14,0,0,0
WALKING_DOWNSTAIRS,25,37,357,0,1,0
SITTING,1,23,0,367,99,1
STANDING,0,2,0,56,474,0
LAYING,0,0,0,0,0,537
