,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,451,1,40,0,4,0
WALKING_UPSTAIRS,3,441,25,0,2,0
WALKING_DOWNSTAIRS,55,11,353,0,1,0
SITTING,0,5,0,387,94,5
STANDING,0,0,0,61,471,0
LAYING,0,0,0,0,0,537
