class,precision,recall,f1-score,support
WALKING,0.939203354297694,0.9032258064516129,0.920863309352518,496.0
WALKING_UPSTAIRS,0.9006085192697769,0.9426751592356688,0.921161825726141,471.0
WALKING_DOWNSTAIRS,0.8594847775175644,0.8738095238095238,0.8665879574970484,420.0
SITTING,0.8457943925233645,0.7372708757637475,0.7878128400435256,491.0
STANDING,0.8120689655172414,0.8853383458646616,0.8471223021582733,532.0
LAYING,0.9907749077490775,1.0,0.995366079703429,537.0
macro avg,0.8913224861457865,0.8903866185208691,0.8898190524134892,2947.0
weighted avg,0.8925574973568026,0.8920936545639634,0.8912721810366256,2947.0
