class,precision,recall,f1-score,support
WALKING,0.8848484848484849,0.8830645161290323,0.8839556004036327,496.0
WALKING_UPSTAIRS,0.7676419965576592,0.9469214437367304,0.8479087452471483,471.0
WALKING_DOWNSTAIRS,0.8444444444444444,0.6333333333333333,0.7238095238095238,420.0
SITTING,0.8604166666666667,0.8411405295315683,0.850669412976313,491.0
STANDING,0.8689138576779026,0.8721804511278195,0.8705440900562852,532.0
LAYING,0.9907749077490775,1.0,0.995366079703429,537.0
macro avg,0.8695067263240394,0.8627733789764139,0.8620422420327221,2947.0
weighted avg,0.8727125132709213,0.8700373260943333,0.8677050286032112,2947.0
