class,precision,recall,f1-score,support
WALKING,0.8324324324324325,0.9314516129032258,0.879162702188392,496.0
WALKING_UPSTAIRS,0.9897959183673469,0.8237791932059448,0.899188876013905,471.0
WALKING_DOWNSTAIRS,0.7909090909090909,0.8285714285714286,0.8093023255813954,420.0
SITTING,0.8280922431865828,0.8044806517311609,0.8161157024793388,491.0
STANDING,0.8296703296703297,0.8515037593984962,0.8404452690166976,532.0
LAYING,1.0,1.0,1.0,537.0
macro avg,0.8784833357609637,0.8732977743017094,0.8740358125466215,2947.0
weighted avg,0.8809772952183754,0.8764845605700713,0.8769322465783563,2947.0
