,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,451,2,43,0,0,0
WALKING_UPSTAIRS,0,444,27,0,0,0
WALKING_DOWNSTAIRS,17,2,401,0,0,0
SITTING,0,22,3,428,38,0
STANDING,0,0,0,101,431,0
LAYING,0,0,0,0,0,537
