class,precision,recall,f1-score,support
WALKING,1.0,0.3157894736842105,0.48,19.0
WALKING_UPSTAIRS,0.6,1.0,0.75,15.0
WALKING_DOWNSTAIRS,0.5,0.6,0.5454545454545454,15.0
SITTING,0.0,0.0,0.0,22.0
STANDING,0.5,1.0,0.6666666666666666,22.0
LAYING,0.0,0.0,0.0,22.0
macro avg,0.43333333333333335,0.48596491228070177,0.407020202020202,115.0
weighted avg,0.4043478260869565,0.45217391304347826,0.37581291172595516,115.0
