run_name,experiment,feature_mode,right_60s_macro_f1,left_30s_macro_f1,min_downstairs_recall_right_left,min_sitting_recall_right_left,v2_grouped_macro_f1,uci_test_macro_f1,selection_score,selected
m3_v2_1_mixed_6ch,mixed_6ch_v2_1,base_6ch,0.7647422609427834,0.3720735785953177,0.6,0.0,0.7097277119016249,0.7932142674951451,"[0.7647422609427834, 0.3720735785953177, 0.6, 0.0, 0.7097277119016249, 0.7932142674951451]",True
m3_v2_1_mixed_focal_6ch,mixed_focal_6ch_v2_1,base_6ch,0.5555555555555555,0.407020202020202,0.6,0.0,0.7651298789609683,0.8123760218231489,"[0.5555555555555555, 0.407020202020202, 0.6, 0.0, 0.7651298789609683, 0.8123760218231489]",False
m3_v2_1_mixed_gravity_10ch,mixed_gravity_10ch_v2_1,gravity_10ch,0.5548463655769015,0.6986827551533433,0.6,0.0,0.6097883597883598,0.8784197448430361,"[0.5548463655769015, 0.6986827551533433, 0.6, 0.0, 0.6097883597883598, 0.8784197448430361]",False
m3_v2_1_arduino_only,arduino_only_v2_1,base_6ch,0.5162815126050421,0.73,0.3333333333333333,1.0,0.48571428571428577,0.09199803488086465,"[0.5162815126050421, 0.73, 0.3333333333333333, 1.0, 0.48571428571428577, 0.09199803488086465]",False
m3_v2_1_uci_pretrain_finetune,uci_pretrain_v2_1_finetune,base_6ch,0.2661016949152542,0.3165615839831868,0.0,1.0,0.1986111111111111,0.45632631689980846,"[0.2661016949152542, 0.3165615839831868, 0.0, 1.0, 0.1986111111111111, 0.45632631689980846]",False
m3_v2_1_uci_only_baseline,uci_only_baseline_v2_1_eval,base_6ch,0.05263157894736842,0.0535279805352798,0.0,0.0,0.058666666666666666,0.9040587941825002,"[0.05263157894736842, 0.0535279805352798, 0.0, 0.0, 0.058666666666666666, 0.9040587941825002]",False
