,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,10,0,0,0,0,0
WALKING_UPSTAIRS,0,6,6,0,0,0
WALKING_DOWNSTAIRS,2,0,18,0,2,0
SITTING,0,0,0,22,0,0
STANDING,0,0,0,0,15,0
LAYING,0,0,0,0,0,10
