class,precision,recall,f1,support,correct,dominant_confusion_target,dominant_confusion_count
WALKING,0.8333333333333334,1.0,0.9090909090909091,10,10,,0
WALKING_UPSTAIRS,1.0,0.5,0.6666666666666666,12,6,WALKING_DOWNSTAIRS,6
WALKING_DOWNSTAIRS,0.75,0.8181818181818182,0.782608695652174,22,18,WALKING,2
SITTING,1.0,1.0,1.0,22,22,,0
STANDING,0.8823529411764706,1.0,0.9375,15,15,,0
LAYING,1.0,1.0,1.0,10,10,,0
