time_ms,ax,ay,az,gx,gy,gz,label
2548,-0.99,-0.26,0.11,2.26,-0.79,2.14,standing
2574,-0.99,-0.26,0.11,2.87,-0.37,2.2,standing
2600,-0.99,-0.25,0.11,2.2,0.0,2.2,standing
2626,-0.99,-0.25,0.1,2.01,-0.24,1.77,standing
2652,-0.99,-0.26,0.11,2.62,-0.43,1.1,standing
2678,-0.99,-0.26,0.11,2.44,-0.43,1.1,standing
2704,-0.98,-0.26,0.11,2.01,-0.49,1.22,standing
2730,-0.98,-0.27,0.1,1.89,-0.43,1.77,standing
2756,-0.99,-0.26,0.1,2.69,-0.55,2.14,standing
2782,-0.99,-0.26,0.11,3.05,-0.61,2.08,standing
2808,-0.99,-0.26,0.11,2.32,-0.67,1.89,standing
2834,-0.99,-0.26,0.11,2.62,-0.37,1.77,standing
2860,-0.99,-0.26,0.1,2.5,0.0,1.53,standing
2886,-0.99,-0.26,0.1,2.38,-0.31,1.16,standing
2912,-0.99,-0.26,0.11,2.2,-0.37,1.28,standing
2938,-0.99,-0.26,0.11,1.59,-0.49,1.4,standing
2964,-0.98,-0.26,0.11,2.14,-0.43,1.4,standing
2990,-0.99,-0.26,0.11,2.38,-0.49,1.46,standing
3016,-0.99,-0.26,0.11,2.32,-0.55,1.34,standing
3042,-0.99,-0.25,0.1,2.38,-0.55,1.53,standing
3068,-0.99,-0.26,0.1,2.44,-0.67,1.1,standing
3094,-0.99,-0.27,0.11,2.26,-0.92,1.16,standing
3120,-0.98,-0.27,0.11,2.08,-0.67,1.22,standing
3146,-0.98,-0.27,0.11,2.62,-0.12,1.95,standing
3172,-0.99,-0.27,0.11,2.87,0.06,2.08,standing
3198,-0.99,-0.27,0.11,2.56,-0.06,2.44,standing
3224,-0.98,-0.26,0.11,2.2,-0.49,2.69,standing
3250,-0.99,-0.26,0.11,2.81,-0.55,2.44,standing
3276,-0.99,-0.26,0.11,3.6,-0.24,2.01,standing
3302,-0.99,-0.28,0.11,3.97,0.24,1.77,standing
3328,-0.97,-0.28,0.11,3.54,0.61,2.2,standing
3354,-0.98,-0.28,0.1,3.54,1.04,2.87,standing
3380,-0.98,-0.28,0.1,3.97,0.92,3.23,standing
3406,-0.98,-0.27,0.1,3.36,0.18,3.42,standing
3432,-0.99,-0.27,0.11,2.26,-0.67,3.23,standing
3458,-0.99,-0.27,0.11,1.95,-0.85,3.17,standing
3484,-0.99,-0.27,0.11,1.59,-0.55,2.93,standing
3510,-0.98,-0.27,0.11,2.2,-0.43,2.69,standing
3536,-0.98,-0.28,0.11,1.77,-0.24,2.62,standing
3562,-0.98,-0.28,0.1,1.34,-0.24,2.44,standing
3588,-0.98,-0.28,0.1,1.89,-0.37,2.62,standing
3614,-0.97,-0.28,0.1,2.38,-0.49,2.81,standing
3640,-0.98,-0.28,0.1,2.87,-0.55,2.69,standing
3666,-0.98,-0.29,0.1,2.75,-0.31,2.81,standing
3692,-0.98,-0.29,0.11,2.69,-1.4,2.56,standing
3718,-0.99,-0.29,0.11,2.75,-1.4,2.26,standing
3745,-0.98,-0.29,0.12,2.93,-1.22,2.26,standing
3771,-0.97,-0.29,0.11,2.87,0.0,2.62,standing
3797,-0.97,-0.29,0.1,3.05,0.85,2.99,standing
3823,-0.98,-0.3,0.1,3.54,0.73,3.11,standing
3849,-0.99,-0.29,0.1,3.78,0.37,3.3,standing
3875,-0.98,-0.28,0.11,1.1,-0.73,3.05,standing
3901,-0.98,-0.28,0.11,0.43,-0.79,2.38,standing
3927,-0.98,-0.29,0.11,0.98,-0.61,1.95,standing
3953,-0.98,-0.3,0.11,1.59,-0.67,1.77,standing
3979,-0.97,-0.3,0.11,3.11,0.0,2.26,standing
4005,-0.97,-0.3,0.11,3.78,0.06,2.38,standing
4031,-0.96,-0.3,0.11,4.03,0.43,2.14,standing
4057,-0.96,-0.31,0.11,4.58,1.28,2.44,standing
4083,-0.98,-0.31,0.11,4.21,-0.18,2.14,standing
4109,-0.98,-0.3,0.11,2.81,-1.04,2.08,standing
4135,-0.98,-0.3,0.12,1.95,-1.59,1.71,standing
4161,-0.97,-0.3,0.12,1.65,-0.79,1.59,standing
4187,-0.97,-0.3,0.12,1.65,0.0,1.34,standing
4214,-0.97,-0.3,0.11,2.5,0.49,1.04,standing
4240,-0.98,-0.31,0.1,2.81,-0.49,0.98,standing
4266,-0.98,-0.31,0.11,2.5,-1.28,1.34,standing
4293,-0.97,-0.3,0.11,1.89,-1.59,1.53,standing
4320,-0.97,-0.3,0.12,1.16,-1.28,1.34,standing
4347,-0.98,-0.3,0.11,1.34,-0.55,1.34,standing
4373,-0.98,-0.3,0.11,1.4,-0.24,0.85,standing
4399,-0.98,-0.3,0.11,1.89,-0.43,0.37,standing
4425,-0.97,-0.3,0.11,2.38,-0.12,0.06,standing
4451,-0.97,-0.3,0.11,2.01,0.37,0.0,standing
4477,-0.97,-0.3,0.1,2.62,0.06,0.12,standing
4503,-0.97,-0.31,0.11,3.6,-0.31,0.37,standing
4529,-0.97,-0.31,0.11,3.05,-0.55,0.55,standing
4556,-0.97,-0.3,0.11,2.2,-0.67,0.67,standing
4582,-0.98,-0.3,0.11,1.53,-0.67,0.98,standing
4608,-0.98,-0.29,0.1,2.01,-0.31,0.61,standing
4634,-0.97,-0.3,0.1,3.05,-0.61,0.18,standing
4660,-0.97,-0.31,0.11,3.36,-0.31,0.0,standing
4687,-0.98,-0.31,0.11,3.17,-0.06,0.24,standing
4713,-0.97,-0.3,0.1,2.99,0.06,0.55,standing
4739,-0.97,-0.3,0.11,3.54,-0.55,0.61,standing
4765,-0.97,-0.3,0.11,3.17,-0.49,0.73,standing
4791,-0.98,-0.3,0.11,2.5,-0.55,0.61,standing
4818,-0.98,-0.3,0.11,2.32,-0.67,0.61,standing
4844,-0.98,-0.29,0.11,2.87,-0.55,0.37,standing
4870,-0.98,-0.29,0.11,2.99,-0.79,0.06,standing
4896,-0.98,-0.29,0.11,2.87,-0.98,-0.12,standing
4922,-0.98,-0.3,0.11,3.23,-0.92,-0.31,standing
4948,-0.97,-0.31,0.11,3.48,-0.67,0.31,standing
4974,-0.97,-0.31,0.11,3.78,-0.43,1.16,standing
5000,-0.97,-0.3,0.11,3.97,0.06,1.77,standing
5026,-0.98,-0.3,0.11,3.54,-0.06,2.2,standing
5052,-0.98,-0.29,0.1,3.54,0.43,2.14,standing
5078,-0.98,-0.28,0.11,3.05,0.49,1.46,standing
5104,-0.98,-0.29,0.11,2.26,-0.24,0.67,standing
5130,-0.98,-0.3,0.11,2.5,-0.18,0.06,standing
5156,-0.98,-0.3,0.11,2.32,-0.61,-0.06,standing
5182,-0.98,-0.3,0.11,2.56,-0.37,-0.06,standing
5208,-0.98,-0.3,0.11,3.05,-0.67,-0.12,standing
5234,-0.97,-0.31,0.11,2.93,-0.67,0.43,standing
5260,-0.97,-0.31,0.11,3.91,-0.31,1.04,standing
5286,-0.98,-0.3,0.11,3.97,-0.31,1.16,standing
5312,-0.98,-0.3,0.11,3.36,-0.37,0.85,standing
5338,-0.98,-0.29,0.11,2.87,-0.18,0.85,standing
5364,-0.98,-0.29,0.11,2.44,-0.37,0.49,standing
5390,-0.98,-0.29,0.11,2.14,-0.43,0.06,standing
5416,-0.98,-0.29,0.11,2.14,-0.18,-0.06,standing
5442,-0.97,-0.3,0.11,2.08,0.06,-0.12,standing
5469,-0.97,-0.3,0.11,2.93,-0.18,0.18,standing
5495,-0.97,-0.3,0.11,3.42,0.06,0.37,standing
5522,-0.97,-0.3,0.11,3.23,-0.12,0.61,standing
5549,-0.98,-0.3,0.11,3.05,-0.12,0.73,standing
5575,-0.97,-0.29,0.11,3.05,-0.43,0.61,standing
5601,-0.98,-0.3,0.11,3.05,-0.73,0.49,standing
5627,-0.98,-0.3,0.11,3.05,-0.85,0.61,standing
5653,-0.98,-0.29,0.11,2.38,-0.98,0.67,standing
5679,-0.98,-0.29,0.11,2.32,-0.73,0.67,standing
5706,-0.98,-0.29,0.11,2.08,-0.49,0.49,standing
5733,-0.98,-0.29,0.11,2.08,0.0,0.37,standing
5760,-0.98,-0.29,0.1,2.87,0.18,0.06,standing
5786,-0.97,-0.29,0.11,3.23,-0.37,0.31,standing
5812,-0.98,-0.29,0.11,2.99,-0.61,0.24,standing
5839,-0.98,-0.3,0.11,3.54,-0.55,0.49,standing
5865,-0.98,-0.3,0.11,3.85,-0.85,0.55,standing
5891,-0.98,-0.3,0.11,3.23,-0.67,0.73,standing
5917,-0.98,-0.29,0.11,2.93,-0.92,0.73,standing
5943,-0.97,-0.3,0.11,2.87,-0.92,0.49,standing
5969,-0.98,-0.3,0.11,2.44,-0.49,0.43,standing
5996,-0.98,-0.29,0.11,1.95,-0.55,0.49,standing
6023,-0.98,-0.29,0.11,1.28,-0.79,0.49,standing
6049,-0.98,-0.29,0.11,1.28,-0.79,0.67,standing
6075,-0.98,-0.29,0.11,1.22,-0.79,0.61,standing
6102,-0.98,-0.28,0.11,1.71,-0.37,0.55,standing
6129,-0.98,-0.29,0.11,2.38,-0.06,0.43,standing
6155,-0.98,-0.29,0.11,2.81,0.0,0.06,standing
6182,-0.98,-0.29,0.11,3.6,0.18,0.18,standing
6208,-0.98,-0.29,0.11,2.99,-0.31,0.06,standing
6234,-0.97,-0.3,0.11,2.75,-0.61,0.18,standing
6260,-0.98,-0.3,0.11,2.38,-0.73,0.31,standing
6286,-0.98,-0.29,0.11,2.14,-1.1,0.31,standing
6312,-0.98,-0.29,0.11,1.89,-1.28,0.18,standing
6338,-0.98,-0.29,0.11,2.2,-0.98,0.18,standing
6365,-0.98,-0.29,0.11,2.81,-0.49,0.18,standing
6392,-0.98,-0.29,0.11,3.42,-0.43,0.37,standing
6419,-0.98,-0.29,0.1,4.03,-0.49,0.24,standing
6445,-0.98,-0.29,0.11,3.17,-0.67,0.06,standing
6471,-0.98,-0.29,0.11,2.5,-0.85,0.12,standing
6497,-0.98,-0.29,0.11,2.56,-0.79,0.06,standing
6523,-0.98,-0.29,0.11,2.56,-0.98,0.06,standing
6549,-0.98,-0.29,0.11,2.69,-0.85,0.24,standing
6576,-0.98,-0.28,0.11,2.5,-0.61,0.06,standing
6603,-0.98,-0.29,0.1,2.69,-0.61,-0.12,standing
6630,-0.98,-0.29,0.11,3.05,-0.61,-0.12,standing
6657,-0.98,-0.29,0.11,3.36,-0.43,0.18,standing
6683,-0.98,-0.29,0.1,3.17,-0.31,0.06,standing
6709,-0.98,-0.29,0.1,3.42,-0.43,0.43,standing
6735,-0.98,-0.28,0.1,3.17,-0.61,0.49,standing
6761,-0.98,-0.28,0.1,3.3,-0.43,0.55,standing
6787,-0.99,-0.28,0.1,3.36,-0.24,0.31,standing
6813,-0.98,-0.28,0.1,3.72,0.0,0.31,standing
6840,-0.98,-0.28,0.11,3.72,0.18,-0.06,standing
6867,-0.98,-0.28,0.1,3.97,0.37,-0.37,standing
6893,-0.98,-0.29,0.1,4.58,0.18,-0.12,standing
6920,-0.98,-0.29,0.1,4.94,0.24,-0.12,standing
6947,-0.98,-0.29,0.1,4.39,0.0,0.24,standing
6973,-0.98,-0.29,0.1,4.27,-0.43,0.37,standing
7000,-0.98,-0.28,0.11,3.54,-0.79,0.43,standing
7027,-0.99,-0.28,0.1,2.08,-1.1,0.49,standing
7054,-0.99,-0.28,0.1,2.44,-0.73,0.06,standing
7080,-0.98,-0.28,0.11,3.17,-0.24,0.0,standing
7107,-0.98,-0.28,0.1,3.3,0.12,-0.12,standing
7134,-0.98,-0.28,0.1,3.05,0.24,0.0,standing
7160,-0.98,-0.29,0.1,3.17,-0.06,-0.12,standing
7187,-0.98,-0.29,0.1,3.3,-0.18,0.43,standing
7213,-0.98,-0.28,0.1,3.23,-0.06,0.55,standing
7239,-0.98,-0.28,0.1,2.93,0.12,0.37,standing
7265,-0.98,-0.27,0.1,3.6,0.37,0.06,standing
7292,-0.98,-0.28,0.1,3.66,0.37,-0.12,standing
7318,-0.98,-0.28,0.1,3.48,0.18,-0.06,standing
7344,-0.98,-0.28,0.1,3.78,0.0,0.06,standing
7371,-0.98,-0.28,0.11,3.17,-0.37,-0.18,standing
7398,-0.98,-0.28,0.11,3.42,0.0,-0.37,standing
7424,-0.98,-0.28,0.1,2.75,-0.31,-0.24,standing
7450,-0.98,-0.28,0.1,2.26,-0.67,0.0,standing
7476,-0.98,-0.28,0.11,2.93,-0.98,0.61,standing
7502,-0.98,-0.27,0.11,2.56,-1.04,1.1,standing
7528,-0.98,-0.27,0.11,2.32,-0.67,0.79,standing
7554,-0.99,-0.27,0.11,2.5,-0.24,0.67,standing
7580,-0.99,-0.27,0.11,2.44,0.06,0.24,standing
7607,-0.98,-0.27,0.1,2.32,0.12,-0.31,standing
7633,-0.98,-0.28,0.1,2.08,-0.06,-0.37,standing
7659,-0.98,-0.28,0.1,2.62,-0.31,-0.18,standing
7686,-0.98,-0.29,0.1,2.99,-0.67,0.37,standing
7712,-0.98,-0.28,0.1,2.26,-1.04,0.85,standing
7738,-0.98,-0.27,0.11,1.95,-1.34,0.92,standing
7765,-0.99,-0.27,0.11,2.08,-1.16,1.1,standing
7791,-0.99,-0.26,0.11,1.46,-0.67,0.67,standing
7818,-0.99,-0.26,0.1,1.46,-0.31,0.18,standing
7845,-0.98,-0.27,0.1,1.71,0.18,0.18,standing
7871,-0.98,-0.27,0.1,2.87,-0.18,0.37,standing
7897,-0.99,-0.27,0.1,2.99,-0.49,0.12,standing
7924,-0.98,-0.27,0.11,3.3,-0.49,0.0,standing
7950,-0.99,-0.27,0.1,3.23,-0.67,0.43,standing
7977,-0.99,-0.27,0.1,3.17,-0.92,0.37,standing
8003,-0.98,-0.27,0.1,2.81,-1.34,0.12,standing
8030,-0.98,-0.28,0.11,2.99,-1.34,0.12,standing
8056,-0.98,-0.27,0.11,2.99,-1.4,0.24,standing
8082,-0.99,-0.27,0.1,2.69,-0.79,0.73,standing
8108,-0.98,-0.27,0.1,2.93,-0.67,0.73,standing
8135,-0.99,-0.27,0.1,3.54,-0.73,1.04,standing
8161,-0.99,-0.27,0.1,3.66,-0.61,1.28,standing
8187,-0.99,-0.27,0.1,3.48,-0.61,0.92,standing
8214,-0.99,-0.27,0.1,2.99,-0.37,0.79,standing
8241,-0.98,-0.27,0.1,2.2,-0.31,0.92,standing
8268,-0.98,-0.27,0.1,1.95,-0.18,0.79,standing
8295,-0.98,-0.27,0.1,2.38,-0.06,0.43,standing
8322,-0.98,-0.28,0.1,2.56,0.12,0.55,standing
8349,-0.99,-0.27,0.1,2.69,0.0,0.43,standing
8376,-0.98,-0.27,0.1,2.69,-0.37,0.55,standing
8402,-0.98,-0.27,0.1,2.75,-0.61,0.73,standing
8429,-0.98,-0.27,0.1,3.05,-0.67,1.04,standing
8456,-0.98,-0.27,0.1,3.05,-0.85,0.92,standing
8482,-0.98,-0.27,0.1,3.66,-0.67,1.28,standing
8508,-0.99,-0.26,0.1,3.23,-0.55,0.92,standing
8535,-0.99,-0.27,0.1,3.11,-0.31,0.37,standing
8562,-0.99,-0.27,0.1,3.23,0.0,0.43,standing
8588,-0.98,-0.27,0.1,3.23,0.24,0.55,standing
8614,-0.98,-0.28,0.1,3.6,-0.06,0.73,standing
8641,-0.98,-0.28,0.1,3.3,-0.43,0.79,standing
8668,-0.98,-0.27,0.1,2.99,-0.61,0.73,standing
8695,-0.98,-0.27,0.1,2.93,-0.67,0.67,standing
8721,-0.98,-0.27,0.1,2.81,-0.49,0.43,standing
8748,-0.98,-0.28,0.1,2.99,-0.61,0.31,standing
8775,-0.98,-0.28,0.1,2.26,-0.67,0.43,standing
8801,-0.99,-0.27,0.1,1.59,-0.73,0.73,standing
8827,-0.99,-0.27,0.1,1.4,-0.73,0.79,standing
8853,-0.99,-0.26,0.1,1.59,-0.43,0.49,standing
8880,-0.98,-0.26,0.1,1.89,-0.06,-0.24,standing
8907,-0.98,-0.27,0.1,1.59,0.31,-0.49,standing
8933,-0.98,-0.28,0.09,2.14,-0.12,-0.37,standing
8960,-0.98,-0.28,0.1,3.11,-0.55,0.31,standing
8987,-0.98,-0.28,0.1,3.6,-0.55,1.4,standing
9013,-0.99,-0.27,0.11,3.17,-0.67,1.77,standing
9039,-0.99,-0.27,0.11,3.42,-0.12,1.59,standing
9065,-0.99,-0.27,0.1,3.72,0.49,1.04,standing
9091,-0.99,-0.26,0.1,3.54,0.92,0.61,standing
9117,-0.98,-0.27,0.1,3.42,0.55,0.24,standing
9143,-0.98,-0.27,0.1,3.3,0.31,-0.06,standing
9170,-0.98,-0.27,0.1,2.56,-0.12,0.43,standing
9197,-0.99,-0.27,0.1,2.56,-0.49,0.67,standing
9224,-0.99,-0.27,0.1,2.14,-0.73,0.79,standing
9250,-0.98,-0.27,0.1,2.08,-0.73,0.85,standing
9277,-0.98,-0.26,0.1,2.69,-0.43,1.1,standing
9304,-0.99,-0.26,0.1,2.99,-0.18,0.79,standing
9331,-0.99,-0.26,0.1,3.17,-0.24,0.37,standing
9358,-0.98,-0.27,0.1,3.05,-0.18,0.06,standing
9385,-0.98,-0.27,0.1,3.23,0.18,0.12,standing
9411,-0.98,-0.27,0.1,3.23,0.06,0.31,standing
9437,-0.99,-0.27,0.1,2.69,-0.67,0.37,standing
9463,-0.99,-0.27,0.1,2.87,-1.04,0.43,standing
9490,-0.99,-0.26,0.11,3.48,-0.73,0.73,standing
9517,-0.99,-0.26,0.1,3.48,-0.61,0.49,standing
9544,-0.98,-0.27,0.1,3.05,-0.31,0.06,standing
9571,-0.98,-0.27,0.1,3.91,0.06,0.18,standing
9598,-0.99,-0.27,0.1,4.27,-0.06,0.55,standing
9624,-0.99,-0.27,0.1,3.85,-0.24,0.31,standing
9650,-0.98,-0.27,0.1,2.99,-0.37,0.37,standing
9677,-0.98,-0.27,0.1,2.62,-0.43,0.37,standing
9703,-0.99,-0.27,0.1,2.69,-0.73,0.31,standing
9729,-0.99,-0.27,0.1,2.38,-0.85,0.31,standing
9755,-0.99,-0.26,0.1,1.59,-0.73,0.24,standing
9781,-0.99,-0.27,0.1,2.08,-0.43,0.06,standing
9807,-0.98,-0.27,0.1,2.56,0.31,0.24,standing
9834,-0.99,-0.26,0.1,2.75,0.92,0.43,standing
9861,-0.99,-0.27,0.1,3.17,0.06,0.31,standing
9887,-0.98,-0.27,0.1,3.05,0.49,0.73,standing
9914,-0.99,-0.27,0.1,1.89,0.24,0.61,standing
9940,-0.98,-0.27,0.1,2.01,0.0,0.67,standing
9966,-0.98,-0.26,0.1,3.11,1.04,0.79,standing
9992,-0.99,-0.26,0.1,3.6,1.46,0.37,standing
10018,-0.99,-0.26,0.1,2.14,0.61,-0.18,standing
10045,-0.99,-0.27,0.1,2.56,-0.12,-0.43,standing
10072,-0.98,-0.27,0.11,1.46,-0.24,-0.06,standing
10099,-0.99,-0.26,0.1,2.14,0.12,-0.12,standing
10125,-0.99,-0.26,0.1,2.44,-0.31,-0.18,standing
10152,-0.99,-0.26,0.1,1.34,-0.73,0.18,standing
10179,-0.99,-0.26,0.1,1.59,-0.79,0.37,standing
10206,-0.99,-0.25,0.11,1.65,-0.85,0.12,standing
10232,-0.98,-0.26,0.11,1.28,-0.55,-0.18,standing
10259,-0.98,-0.26,0.11,1.83,0.0,-0.12,standing
10286,-0.98,-0.26,0.1,1.89,0.18,-0.06,standing
10312,-0.99,-0.26,0.1,1.4,-0.06,0.0,standing
10338,-0.98,-0.25,0.1,1.53,-0.37,-0.24,standing
10364,-0.99,-0.25,0.1,1.53,-0.37,0.0,standing
10391,-0.99,-0.25,0.1,2.01,-0.55,0.06,standing
10417,-0.99,-0.25,0.11,2.62,-0.67,0.12,standing
