,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,717,0,107,0,0,9
WALKING_UPSTAIRS,24,53,173,0,1,0
WALKING_DOWNSTAIRS,107,1,95,0,10,2
SITTING,0,0,0,394,0,529
STANDING,0,0,0,0,878,0
LAYING,0,0,0,0,0,1021
