epoch,accuracy,loss,val_accuracy,val_loss
1,0.6479913592338562,1.111881971359253,0.7329261302947998,1.4918274879455566
2,0.8294001221656799,0.6123096346855164,0.8228761553764343,1.0041382312774658
3,0.8715546727180481,0.42907488346099854,0.9183786511421204,0.5275189876556396
4,0.908665120601654,0.30227750539779663,0.9750138521194458,0.260819673538208
5,0.9219960570335388,0.23000019788742065,0.9838978052139282,0.16598746180534363
6,0.9266798496246338,0.19525399804115295,0.9800111055374146,0.14503389596939087
7,0.9308232665061951,0.1752183586359024,0.9783453345298767,0.13889439404010773
8,0.9331651926040649,0.16230908036231995,0.9672403931617737,0.13404890894889832
9,0.9346063733100891,0.15342791378498077,0.9666851758956909,0.13333657383918762
10,0.9365879893302917,0.14666451513767242,0.9672403931617737,0.1314176619052887
11,0.9378490447998047,0.14104072749614716,0.9677956700325012,0.12975779175758362
12,0.9394703507423401,0.13659019768238068,0.9672403931617737,0.12831005454063416
13,0.9405512809753418,0.1328868865966797,0.9677956700325012,0.12824800610542297
14,0.9412718415260315,0.12968207895755768,0.9672403931617737,0.12773603200912476
15,0.9425328969955444,0.1268535852432251,0.9661298990249634,0.12740376591682434
16,0.9428931474685669,0.12439383566379547,0.9650194048881531,0.12747210264205933
17,0.9428931474685669,0.12228038161993027,0.9644641876220703,0.12873239815235138
18,0.9434336423873901,0.12015905976295471,0.9639089107513428,0.1294955462217331
19,0.9441542029380798,0.11819401383399963,0.9622431993484497,0.13138867914676666
20,0.9452350735664368,0.1162092313170433,0.9616879224777222,0.1328820437192917
21,0.9463160037994385,0.1143559142947197,0.9594669342041016,0.13725702464580536
22,0.9479373097419739,0.11263292282819748,0.9594669342041016,0.14081193506717682
23,0.9482976198196411,0.11110230535268784,0.9583564400672913,0.14461787045001984
