class,precision,recall,f1-score,support
WALKING,1.0,1.0,1.0,22.0
WALKING_UPSTAIRS,0.625,0.8333333333333334,0.7142857142857143,6.0
WALKING_DOWNSTAIRS,0.11764705882352941,0.6666666666666666,0.2,9.0
SITTING,0.0,0.0,0.0,22.0
STANDING,1.0,1.0,1.0,22.0
LAYING,0.0,0.0,0.0,22.0
macro avg,0.4571078431372549,0.5833333333333334,0.48571428571428577,103.0
weighted avg,0.47387207310108515,0.5339805825242718,0.4862690707350902,103.0
