,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,22,0,0,0,0,0
WALKING_UPSTAIRS,0,22,0,0,0,0
WALKING_DOWNSTAIRS,0,1,23,0,0,0
SITTING,0,0,0,26,0,0
STANDING,0,0,0,0,26,0
LAYING,0,0,0,0,0,25
