class,precision,recall,f1,support,dominant_confusion_target,dominant_confusion_count
WALKING,1.0,1.0,1.0,22,,0
WALKING_UPSTAIRS,0.9565217391304348,1.0,0.9777777777777777,22,,0
WALKING_DOWNSTAIRS,1.0,0.9583333333333334,0.9787234042553191,24,WALKING_UPSTAIRS,1
SITTING,1.0,1.0,1.0,26,,0
STANDING,1.0,1.0,1.0,26,,0
LAYING,1.0,1.0,1.0,25,,0
