metric,phase2_lightweight_keras,phase3_selected_int8_tflite,change
offline_accuracy,0.9168646080760094,0.9144893111638955,-0.002375296912113911
offline_macro_f1,0.9173051875969983,0.9147170858512556,-0.0025881017457427546
model_size_bytes,13460.0,10288.0,-3172.0
