,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,481,2,13,0,0,0
WALKING_UPSTAIRS,4,446,21,0,0,0
WALKING_DOWNSTAIRS,6,22,392,0,0,0
SITTING,0,0,0,389,102,0
STANDING,0,0,0,82,450,0
LAYING,0,0,0,0,0,537
