time_ms,ax,ay,az,gx,gy,gz,label
2414,-1.08,-0.53,0.1,50.78,-3.3,-31.74,walk_down
2441,-0.49,-0.28,-0.06,-71.59,21.85,15.69,walk_down
2468,-0.6,-0.04,-0.28,-62.07,61.77,36.07,walk_down
2495,-0.54,-0.04,-0.32,-85.45,67.02,47.12,walk_down
2521,-0.81,-0.01,-0.41,-16.48,54.2,41.75,walk_down
2548,-1.09,0.01,-0.36,68.48,0.18,27.4,walk_down
2574,-1.25,0.03,-0.21,87.16,-73.97,25.09,walk_down
2600,-1.26,0.09,-0.11,87.65,-67.38,22.89,walk_down
2627,-1.29,0.13,-0.04,121.83,-81.42,19.29,walk_down
2653,-1.17,0.12,0.07,156.62,-82.03,26.0,walk_down
2679,-1.14,0.08,0.22,157.41,-106.57,18.13,walk_down
2706,-1.24,0.11,0.4,94.79,-114.99,2.5,walk_down
2732,-1.02,-0.19,0.66,13.61,-91.8,-21.06,walk_down
2759,-0.77,-0.47,0.62,-145.94,13.49,26.37,walk_down
2785,-0.72,0.12,0.16,-165.95,121.58,45.96,walk_down
2811,-0.65,0.15,-0.17,-211.73,128.91,30.15,walk_down
2837,-0.8,0.31,-0.19,-173.95,124.57,6.16,walk_down
2863,-0.92,-0.02,-0.18,-102.42,117.49,22.52,walk_down
2890,-0.89,-0.13,-0.21,-95.64,117.0,14.1,walk_down
2916,-0.63,-0.02,-0.1,-38.15,76.72,40.28,walk_down
2942,-0.53,0.24,0.36,53.34,10.86,32.23,walk_down
2968,-1.37,-0.02,1.3,25.15,-21.85,-12.21,walk_down
2994,-1.55,0.07,0.99,-158.51,64.76,-20.63,walk_down
3020,-1.43,-0.38,0.4,-159.18,139.89,-6.9,walk_down
3047,-1.64,-0.22,0.11,-254.76,109.31,-46.63,walk_down
3073,-0.55,-0.17,-0.16,-314.58,79.59,-111.27,walk_down
3099,-1.25,-0.75,0.38,-202.64,-51.64,-104.68,walk_down
3125,-1.04,-0.26,0.36,-77.45,-20.63,-42.54,walk_down
3151,-0.86,-0.32,0.11,39.61,-25.76,6.65,walk_down
3177,-0.67,-0.29,0.29,50.48,-15.93,47.12,walk_down
3203,-0.45,-0.23,0.48,44.92,-32.1,71.66,walk_down
3229,-0.53,-0.19,0.29,44.37,-61.28,63.11,walk_down
3255,-0.72,-0.2,-0.03,26.06,-70.56,36.74,walk_down
3281,-0.35,-0.14,-0.18,37.41,-111.57,5.13,walk_down
3308,-0.77,-0.09,0.27,40.1,-97.35,41.44,walk_down
