time_ms,ax,ay,az,gx,gy,gz,label
20,-0.76,0.22,0.05,-21.67,38.76,7.26,walk_down
46,-0.73,0.04,0.19,-27.53,-14.65,-18.13,walk_down
72,-0.76,0.06,0.24,-28.56,-28.44,-35.4,walk_down
98,-0.87,0.16,0.22,-20.26,-36.68,-48.16,walk_down
124,-0.9,-0.03,0.2,-4.46,-46.57,-54.57,walk_down
150,-0.86,0.04,0.14,-23.99,-33.45,-45.29,walk_down
176,-0.73,0.02,0.07,-32.47,-34.0,-42.54,walk_down
202,-0.86,0.0,0.08,-42.97,-32.71,-42.05,walk_down
228,-0.83,0.1,0.11,-41.99,-36.44,-38.57,walk_down
254,-0.89,0.06,0.14,-60.18,-34.18,-34.06,walk_down
280,-0.9,-0.03,0.12,-92.1,-29.79,-34.67,walk_down
306,-0.86,-0.17,0.12,-109.37,-24.84,-36.93,walk_down
333,-0.92,-0.12,0.08,-109.86,-19.47,-34.97,walk_down
359,-0.9,-0.02,0.03,-94.6,-18.92,-40.77,walk_down
386,-0.91,0.04,-0.02,-71.72,-22.28,-39.31,walk_down
412,-1.01,0.11,-0.0,-41.02,-32.78,-35.52,walk_down
439,-1.04,0.11,0.07,-11.23,-33.45,-33.63,walk_down
465,-0.99,0.1,0.12,-24.23,-29.79,-32.41,walk_down
492,-0.93,0.1,0.1,-56.09,-15.2,-34.12,walk_down
518,-0.9,0.08,0.04,-84.72,-2.44,-38.7,walk_down
545,-1.33,0.26,-0.05,-121.34,9.34,-16.6,walk_down
572,-2.15,0.33,-0.1,-132.45,34.3,11.78,walk_down
599,-1.42,0.06,-0.25,-141.6,43.46,5.19,walk_down
625,-1.51,0.31,-0.16,-114.01,99.24,12.02,walk_down
652,-2.47,0.85,-0.63,-28.81,121.7,47.79,walk_down
678,-1.32,0.95,-0.77,168.95,128.42,23.01,walk_down
704,-0.39,0.34,-0.24,181.95,80.44,-21.79,walk_down
730,-0.14,0.25,-0.22,21.24,71.84,-2.38,walk_down
756,-0.19,0.22,-0.26,-50.29,51.15,-4.09,walk_down
782,-0.5,0.34,-0.28,-49.19,38.94,6.65,walk_down
808,-0.98,0.55,-0.36,-13.85,23.8,0.92,walk_down
834,-1.37,0.55,-0.33,12.21,-28.14,-25.09,walk_down
860,-1.23,0.28,-0.24,17.46,-78.61,-53.41,walk_down
886,-1.46,0.17,-0.13,-8.12,-75.07,-37.9,walk_down
912,-1.43,0.07,-0.05,-32.1,-66.71,-41.02,walk_down
939,-0.95,-0.12,0.11,-61.16,-44.13,-59.27,walk_down
966,-0.97,-0.27,0.27,-90.03,-17.09,-53.28,walk_down
993,-0.97,-0.72,0.16,-162.29,-13.79,-37.54,walk_down
1019,-0.9,-0.89,0.24,-178.71,-57.07,53.34,walk_down
1045,-0.73,-0.06,0.24,0.06,-93.75,119.63,walk_down
1071,-0.34,0.89,0.39,251.16,13.55,90.52,walk_down
1097,-0.93,0.17,0.21,110.9,58.23,50.84,walk_down
1123,-1.08,-0.07,-0.2,17.88,96.07,17.7,walk_down
1150,-1.17,0.05,-0.33,65.31,112.79,2.69,walk_down
1176,-0.9,-0.14,-0.07,82.95,87.95,1.28,walk_down
1202,-0.53,-0.24,0.21,-9.64,86.61,3.85,walk_down
1228,-0.93,-0.15,0.37,-48.89,76.23,41.75,walk_down
1254,-1.61,-0.4,0.29,183.04,79.65,66.16,walk_down
1280,-1.87,0.69,0.14,294.01,11.35,133.97,walk_down
1306,-1.79,-0.29,0.05,471.92,-46.26,91.74,walk_down
1332,-1.35,0.93,0.97,369.81,-38.51,26.12,walk_down
1358,-0.93,0.17,0.95,17.46,-31.62,-7.02,walk_down
1384,-1.08,0.36,-0.21,-147.28,47.97,5.55,walk_down
1410,-0.87,0.33,-0.03,-85.21,-20.2,-27.89,walk_down
1436,-0.8,0.26,0.13,-35.46,-28.56,-57.25,walk_down
