time_ms,ax,ay,az,gx,gy,gz,label
2437,-1.16,0.1,0.26,-321.66,95.58,38.39,walk_down
2464,-1.01,0.16,-0.05,-155.09,75.56,57.31,walk_down
2491,-0.9,0.22,-0.05,-101.38,49.99,25.27,walk_down
2517,-0.82,0.05,0.16,-8.3,39.12,-0.12,walk_down
2544,-0.72,0.06,0.05,-2.44,75.5,-12.51,walk_down
2571,-0.6,0.06,0.02,41.14,94.06,6.59,walk_down
2597,-0.41,0.12,0.06,34.06,87.16,37.11,walk_down
2624,-0.67,0.5,0.54,-39.12,67.93,38.76,walk_down
2651,-1.67,0.34,1.26,-220.7,71.59,-76.66,walk_down
2678,-1.8,-0.06,0.29,-379.21,122.99,-95.15,walk_down
2705,-1.37,-0.57,0.59,-255.98,-18.8,-152.77,walk_down
2732,-1.33,0.27,0.93,-121.64,-51.27,-123.11,walk_down
2758,-0.93,-0.06,0.33,35.03,-38.39,-68.36,walk_down
2784,-0.65,-0.17,0.15,43.03,0.85,2.32,walk_down
2810,-0.52,-0.11,0.09,57.92,2.32,55.73,walk_down
2837,-0.42,-0.15,0.03,71.29,-4.76,90.45,walk_down
2864,-0.31,-0.05,-0.12,76.97,-53.53,83.62,walk_down
2891,-0.18,0.11,-0.2,32.59,-110.17,47.06,walk_down
2917,-0.6,0.14,0.23,-44.19,-139.47,73.91,walk_down
2944,-1.07,0.82,0.4,-54.38,-167.85,42.91,walk_down
2970,-1.1,0.44,0.64,-12.88,-137.02,42.97,walk_down
2996,-1.28,0.52,0.78,11.47,-62.13,31.01,walk_down
3022,-1.39,0.5,0.53,86.36,-7.81,39.12,walk_down
3048,-1.15,0.45,0.22,173.77,0.12,41.87,walk_down
3074,-0.79,0.06,0.3,160.58,-8.3,32.9,walk_down
3100,-0.87,-0.18,0.22,91.06,2.99,15.87,walk_down
3126,-0.73,-0.23,0.1,68.05,-2.87,25.45,walk_down
3153,-0.88,-0.53,0.2,49.62,-28.02,36.38,walk_down
3180,-1.77,-0.09,-0.09,-17.46,-14.4,33.2,walk_down
3207,-1.71,0.11,-0.27,4.64,-5.8,-8.61,walk_down
3234,-1.62,0.07,-0.1,86.67,-36.01,-58.23,walk_down
3260,-2.68,0.44,0.07,151.37,-28.14,-39.43,walk_down
3286,-1.83,0.05,0.38,159.42,-16.36,-83.86,walk_down
3312,-0.72,-0.28,0.36,45.35,25.7,-17.21,walk_down
3338,-0.55,-0.09,-0.3,-111.82,118.53,-4.64,walk_down
3365,-0.66,-0.1,-0.5,-24.05,84.53,17.21,walk_down
3391,-0.66,0.01,-0.34,22.22,75.38,33.75,walk_down
3417,-0.86,0.17,-0.25,72.14,53.83,31.43,walk_down
3444,-1.04,0.34,-0.2,126.53,-32.96,39.79,walk_down
3471,-1.23,0.17,-0.05,141.17,-46.88,23.8,walk_down
3498,-1.18,-0.01,0.02,111.82,-89.48,-7.45,walk_down
3524,-0.85,-0.28,0.7,2.87,-89.72,10.13,walk_down
3550,-0.91,-0.04,0.6,-181.03,51.64,34.42,walk_down
3576,-0.95,-0.1,0.35,-132.26,62.74,43.76,walk_down
3603,-1.12,-0.02,0.27,-113.34,72.51,44.56,walk_down
3630,-0.74,0.0,-0.04,-103.94,88.81,46.26,walk_down
3657,-0.74,0.08,-0.08,-51.45,68.36,35.89,walk_down
3683,-0.74,0.14,-0.1,2.32,61.4,5.25,walk_down
3710,-0.8,0.08,-0.04,24.66,74.16,-0.49,walk_down
3737,-0.56,0.14,-0.02,34.85,62.62,16.24,walk_down
