epoch,accuracy,loss,val_accuracy,val_loss
1,0.5856791138648987,0.4116453230381012,0.3689320385456085,1.6099271774291992
2,0.7763898372650146,0.23435543477535248,0.28155338764190674,1.5971962213516235
3,0.8289936780929565,0.1697956621646881,0.3300970792770386,1.8847236633300781
4,0.8657635450363159,0.1327248215675354,0.48543688654899597,2.140061855316162
5,0.8875791430473328,0.10755688697099686,0.5145630836486816,2.4429845809936523
6,0.9042927622795105,0.09102476388216019,0.5242718458175659,2.6847546100616455
7,0.9095707535743713,0.07996347546577454,0.5145630836486816,2.7973873615264893
8,0.9127374887466431,0.07170189917087555,0.49514561891555786,2.8927698135375977
9,0.9194229245185852,0.06558243930339813,0.48543688654899597,3.0105574131011963
10,0.9238212704658508,0.0606222078204155,0.48543688654899597,3.0733067989349365
