accuracy,loss,val_accuracy,val_loss
0.548407256603241,0.3598279654979706,0.4660194218158722,1.1558682918548584
0.7528107166290283,0.13956411182880402,0.708737850189209,0.8249405026435852
0.7784197330474854,0.09958752989768982,0.708737850189209,0.5367925763130188
0.8021548986434937,0.07880522310733795,0.7281553149223328,0.35740840435028076
0.8285446763038635,0.06553775072097778,0.7475728392601013,0.2924070358276367
0.8463460206985474,0.056217510253190994,0.7766990065574646,0.27377811074256897
0.8602436184883118,0.0489388108253479,0.7864077687263489,0.2750237286090851
0.868831992149353,0.04331725090742111,0.7766990065574646,0.2871308922767639
0.8761711716651917,0.03890626132488251,0.7766990065574646,0.3093830347061157
0.8821049332618713,0.035227835178375244,0.7766990065574646,0.3162230849266052
0.8897563815116882,0.03210091218352318,0.7572815418243408,0.32557788491249084
0.8972517251968384,0.02949473448097706,0.7572815418243408,0.3353191912174225
0.9027170538902283,0.027115551754832268,0.7572815418243408,0.3422359824180603
0.9077139496803284,0.024925610050559044,0.7572815418243408,0.3644111156463623
