,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,0,0,0,0,0,19
WALKING_UPSTAIRS,0,0,0,0,0,15
WALKING_DOWNSTAIRS,0,0,0,0,0,15
SITTING,0,0,0,0,0,22
STANDING,0,0,0,0,0,22
LAYING,0,0,0,0,0,22
