,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,0,0,0,0,0,45
WALKING_UPSTAIRS,0,0,0,0,0,30
WALKING_DOWNSTAIRS,0,0,0,0,0,30
SITTING,0,0,0,0,0,45
STANDING,0,0,0,0,0,45
LAYING,0,0,0,0,0,45
