,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,6,10,1,0,0,2
WALKING_UPSTAIRS,2,10,3,0,0,0
WALKING_DOWNSTAIRS,0,9,6,0,0,0
SITTING,0,0,0,22,0,0
STANDING,22,0,0,0,0,0
LAYING,20,0,0,2,0,0
