,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,22,0,0,0,0,0
WALKING_UPSTAIRS,0,6,0,0,0,0
WALKING_DOWNSTAIRS,0,3,6,0,0,0
SITTING,20,0,0,0,0,2
STANDING,0,0,0,0,22,0
LAYING,0,0,22,0,0,0
