,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,6,4,9,0,0,0
WALKING_UPSTAIRS,0,14,1,0,0,0
WALKING_DOWNSTAIRS,0,7,8,0,0,0
SITTING,0,0,0,0,0,22
STANDING,0,0,0,0,22,0
LAYING,0,0,0,0,22,0
