,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,41,3,0,0,0,1
WALKING_UPSTAIRS,28,2,0,0,0,0
WALKING_DOWNSTAIRS,20,9,0,0,0,1
SITTING,0,0,0,45,0,0
STANDING,45,0,0,0,0,0
LAYING,0,0,45,0,0,0
