,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,45,0,0,0,0,0
WALKING_UPSTAIRS,2,26,2,0,0,0
WALKING_DOWNSTAIRS,2,0,28,0,0,0
SITTING,0,0,0,8,0,37
STANDING,0,0,0,0,45,0
LAYING,0,0,0,0,0,45
