,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,19,0,0,0,0,0
WALKING_UPSTAIRS,0,15,0,0,0,0
WALKING_DOWNSTAIRS,6,3,6,0,0,0
SITTING,0,0,0,0,0,22
STANDING,0,0,0,0,22,0
LAYING,22,0,0,0,0,0
