class,precision,recall,f1-score,support
WALKING,0.8333333333333334,0.8888888888888888,0.8602150537634409,45.0
WALKING_UPSTAIRS,1.0,0.03333333333333333,0.06451612903225806,30.0
WALKING_DOWNSTAIRS,0.39285714285714285,0.7333333333333333,0.5116279069767442,30.0
SITTING,1.0,0.9777777777777777,0.9887640449438202,45.0
STANDING,1.0,1.0,1.0,45.0
LAYING,0.9782608695652174,1.0,0.989010989010989,45.0
macro avg,0.867408557625949,0.7722222222222221,0.7356890206212087,240.0
weighted avg,0.8887810559006211,0.8208333333333333,0.7916411459482972,240.0
