class,precision,recall,f1-score,support
WALKING,0.9,0.9473684210526315,0.9230769230769231,19.0
WALKING_UPSTAIRS,0.75,1.0,0.8571428571428571,15.0
WALKING_DOWNSTAIRS,0.8888888888888888,0.5333333333333333,0.6666666666666666,15.0
SITTING,0.0,0.0,0.0,22.0
STANDING,1.0,1.0,1.0,22.0
LAYING,0.5,1.0,0.6666666666666666,22.0
macro avg,0.6731481481481482,0.7467836257309942,0.6855921855921855,115.0
weighted avg,0.6494202898550725,0.7391304347826086,0.6701067048893136,115.0
