,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,40,0,5,0,0,0
WALKING_UPSTAIRS,0,1,29,0,0,0
WALKING_DOWNSTAIRS,8,0,22,0,0,0
SITTING,0,0,0,44,0,1
STANDING,0,0,0,0,45,0
LAYING,0,0,0,0,0,45
