accuracy,loss,val_accuracy,val_loss
0.5287320613861084,0.5693210363388062,0.40776699781417847,1.6974602937698364
0.7450031042098999,0.3188491463661194,0.6893203854560852,1.3187941312789917
0.7759212851524353,0.25145694613456726,0.6699029207229614,1.055450201034546
0.8026233315467834,0.21284626424312592,0.737864077091217,0.9109255075454712
0.8202685713768005,0.18427133560180664,0.7475728392601013,0.8450982570648193
0.8358837962150574,0.1629064381122589,0.737864077091217,0.8181003928184509
0.8508744239807129,0.14559294283390045,0.737864077091217,0.7954373955726624
0.8646158576011658,0.13080136477947235,0.7669903039932251,0.7982791662216187
0.8766396045684814,0.11812952160835266,0.7669903039932251,0.7964341044425964
0.88944411277771,0.10745273530483246,0.7766990065574646,0.8115096092224121
0.8992816805839539,0.09811217337846756,0.7766990065574646,0.8621881008148193
0.9078700542449951,0.090150386095047,0.7669903039932251,0.9143459796905518
0.9120861887931824,0.08326515555381775,0.7475728392601013,0.9600085616111755
0.9167707562446594,0.07784492522478104,0.7475728392601013,1.0271419286727905
0.9230168461799622,0.07243702560663223,0.7475728392601013,1.0922447443008423
