epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6103404760360718,1.1373246908187866,0.6574125289916992,1.5550020933151245,0.0010000000474974513
2,0.8344442248344421,0.5742490291595459,0.7479178309440613,1.0997320413589478,0.0009900990407913923
3,0.877679705619812,0.38908877968788147,0.821765661239624,0.6545945405960083,0.0009803922148421407
4,0.9057827591896057,0.290741503238678,0.8656302094459534,0.4219910800457001,0.0009708738070912659
5,0.9230769276618958,0.23662099242210388,0.9000555276870728,0.30114349722862244,0.000961538462433964
6,0.9286615252494812,0.20545949041843414,0.9339255690574646,0.22061944007873535,0.0009523809421807528
7,0.9347864985466003,0.185563325881958,0.9589117169380188,0.17376919090747833,0.0009433962404727936
8,0.9373086094856262,0.17215877771377563,0.968350887298584,0.1491645872592926,0.0009345794678665698
9,0.9389299154281616,0.16237583756446838,0.9716823697090149,0.13549776375293732,0.0009259259095415473
10,0.9400107860565186,0.15480707585811615,0.9661298990249634,0.12712906301021576,0.0009174311999231577
11,0.940731406211853,0.14851583540439606,0.9672403931617737,0.12429632991552353,0.0009090909152291715
12,0.9425328969955444,0.14320293068885803,0.9677956700325012,0.1226564273238182,0.0009009009227156639
13,0.9445145130157471,0.13885436952114105,0.9677956700325012,0.12323624640703201,0.0008928571478463709
14,0.9443343281745911,0.13520760834217072,0.9733481407165527,0.12328922748565674,0.0008849557489156723
15,0.9448748230934143,0.13199280202388763,0.9750138521194458,0.12335211038589478,0.0008771930006332695
16,0.9439740777015686,0.1290392428636551,0.9750138521194458,0.1248674988746643,0.0008695652359165251
17,0.9446946382522583,0.12636896967887878,0.9750138521194458,0.12383899837732315,0.0008620689623057842
18,0.9452350735664368,0.12378948926925659,0.9755691289901733,0.1260017603635788,0.0008547008619643748
19,0.9461358189582825,0.12145208567380905,0.9755691289901733,0.1290612816810608,0.0008474576170556247
20,0.9463160037994385,0.11927130818367004,0.9761243462562561,0.1347273588180542,0.0008403361425735056
