,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,45,0,0,0,0,0
WALKING_UPSTAIRS,0,0,30,0,0,0
WALKING_DOWNSTAIRS,0,0,30,0,0,0
SITTING,0,0,0,44,0,1
STANDING,0,0,0,0,45,0
LAYING,0,0,0,0,0,45
