,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,20,0,2,0,0,0
WALKING_UPSTAIRS,0,5,1,0,0,0
WALKING_DOWNSTAIRS,0,0,9,0,0,0
SITTING,0,0,0,0,0,22
STANDING,0,0,0,0,22,0
LAYING,0,0,0,0,0,22
