run_name,strategy,train_windows_before_augmentation,train_windows_effective,internal_validation_windows,standardized_external_windows,augmentation,parameters,trainable_parameters,tflite_size_bytes,internal_val_accuracy,internal_val_macro_f1,standardized_external_accuracy,standardized_external_macro_f1,standardized_external_top_confusions
m4_strategy_a_expanded_train_no_aug,A: standardized dataset fully held out for external validation,7074,7074,1801,4121,{'enabled': False},1922,1786,,0.9478067740144365,0.9486796527183129,0.7255520504731862,0.6347242544863337,"[{'true': 'SITTING', 'predicted': 'LAYING', 'count': 483}, {'true': 'LAYING', 'predicted': 'SITTING', 'count': 160}, {'true': 'WALKING', 'predicted': 'WALKING_DOWNSTAIRS', 'count': 141}, {'true': 'WALKING_DOWNSTAIRS', 'predicted': 'WALKING', 'count': 119}, {'true': 'WALKING_UPSTAIRS', 'predicted': 'WALKING_DOWNSTAIRS', 'count': 82}]"
m4_strategy_a_expanded_train_aug,A: standardized dataset fully held out for external validation,7074,14148,1801,4121,"{'enabled': True, 'copies': 1, 'noise_std': 0.02, 'scale_min': 0.95, 'scale_max': 1.05, 'max_shift': 4, 'guardrail': 'Only training windows were augmented. Internal validation and Strategy A external test were unchanged.'}",1922,1786,,0.9516935036091061,0.9511175870242333,0.7663188546469304,0.6509337715684306,"[{'true': 'SITTING', 'predicted': 'LAYING', 'count': 529}, {'true': 'WALKING_UPSTAIRS', 'predicted': 'WALKING_DOWNSTAIRS', 'count': 173}, {'true': 'WALKING', 'predicted': 'WALKING_DOWNSTAIRS', 'count': 107}, {'true': 'WALKING_DOWNSTAIRS', 'predicted': 'WALKING', 'count': 107}, {'true': 'WALKING_UPSTAIRS', 'predicted': 'WALKING', 'count': 24}]"
