,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,464,3,29,0,0,0
WALKING_UPSTAIRS,0,468,3,0,0,0
WALKING_DOWNSTAIRS,4,8,408,0,0,0
SITTING,0,3,0,418,49,21
STANDING,0,1,0,93,438,0
LAYING,13,3,0,0,0,521
