epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6234663724899292,1.1410661935806274,0.6635202765464783,1.5244131088256836,0.0010000000474974513
2,0.7874546647071838,0.6654435992240906,0.8051082491874695,1.0416502952575684,0.0009900990407913923
3,0.831173300743103,0.5132599472999573,0.9078289866447449,0.578196108341217,0.0009803922148421407
4,0.8648695349693298,0.40945881605148315,0.9433647990226746,0.33019354939460754,0.0009708738070912659
5,0.8918265104293823,0.33208370208740234,0.9833425879478455,0.1997232586145401,0.000961538462433964
6,0.9077242016792297,0.2815455198287964,0.9933370351791382,0.1483883410692215,0.0009523809421807528
7,0.9158458709716797,0.24846307933330536,0.9911160469055176,0.13242340087890625,0.0009433962404727936
8,0.9212027192115784,0.22591838240623474,0.9861187934875488,0.12792949378490448,0.0009345794678665698
9,0.923794686794281,0.20965319871902466,0.9827873110771179,0.12663227319717407,0.0009259259095415473
10,0.9244859218597412,0.19752457737922668,0.9822320938110352,0.12765757739543915,0.0009174311999231577
11,0.9286331534385681,0.1881338506937027,0.9783453345298767,0.13189300894737244,0.0009090909152291715
12,0.9310523867607117,0.180902361869812,0.9755691289901733,0.13314616680145264,0.0009009009227156639
13,0.931916356086731,0.17467020452022552,0.9761243462562561,0.1337950974702835,0.0008928571478463709
14,0.9345083832740784,0.16921623051166534,0.9733481407165527,0.13178633153438568,0.0008849557489156723
15,0.9360635876655579,0.16384367644786835,0.9722376465797424,0.13178786635398865,0.0008771930006332695
16,0.9357179999351501,0.1594058871269226,0.9700166583061218,0.13460351526737213,0.0008695652359165251
17,0.9371004104614258,0.1561490148305893,0.9716823697090149,0.13169868290424347,0.0008620689623057842
