,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,755,0,70,0,0,8
WALKING_UPSTAIRS,21,49,180,0,1,0
WALKING_DOWNSTAIRS,107,1,94,0,12,1
SITTING,0,0,0,439,0,484
STANDING,0,0,0,0,878,0
LAYING,0,0,0,66,0,955
