,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,421,2,73,0,0,0
WALKING_UPSTAIRS,0,428,43,0,0,0
WALKING_DOWNSTAIRS,10,24,386,0,0,0
SITTING,0,1,0,376,114,0
STANDING,0,1,0,54,477,0
LAYING,1,0,0,7,0,529
