class,precision,recall,f1-score,support
WALKING,0.9745370370370371,0.8487903225806451,0.9073275862068966,496.0
WALKING_UPSTAIRS,0.9385964912280702,0.9087048832271762,0.9234088457389428,471.0
WALKING_DOWNSTAIRS,0.7689243027888446,0.919047619047619,0.8373101952277657,420.0
SITTING,0.8604118993135011,0.7657841140529531,0.8103448275862069,491.0
STANDING,0.8071065989847716,0.8966165413533834,0.8495102404274265,532.0
LAYING,1.0,0.9851024208566108,0.9924953095684803,537.0
macro avg,0.8915960548920374,0.8873409835197311,0.886732834125953,2947.0
weighted avg,0.8948898806016062,0.8880217170003394,0.8888425756999716,2947.0
